scenario_id,algorithm,runs,feasible_ratio,budget_limit,deadline_limit,makespan_mean,makespan_median,makespan_stddev,makespan_ci95,budget_mean,budget_median,budget_stddev,budget_ci95,interference_time_mean,algorithm_milliseconds_mean,makespan_gain_vs_heft_percent,budget_gain_vs_heft_percent
network_hpc_local,prism_cc_time,1,1.000000,0.000000,265.800000,221.500000,221.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11654.906000,0.000000,0.000000
network_hpc_local,prism_cc_cost,1,1.000000,0.000000,265.800000,221.500000,221.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11654.906000,0.000000,0.000000
network_hpc_local,heft_colocation,1,1.000000,0.000000,265.800000,221.500000,221.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.723000,0.000000,0.000000
network_hpc_multisite,prism_cc_time,1,1.000000,0.000000,265.800000,221.500000,221.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9166.892000,0.000000,0.000000
network_hpc_multisite,prism_cc_cost,1,1.000000,0.000000,265.800000,221.500000,221.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9166.892000,0.000000,0.000000
network_hpc_multisite,heft_colocation,1,1.000000,0.000000,265.800000,221.500000,221.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.560000,0.000000,0.000000
network_cloud_multiregion,prism_cc_time,1,1.000000,0.117090,191.600400,159.667000,159.667000,0.000000,0.000000,0.097575,0.097575,0.000000,0.000000,0.005000,8423.480000,0.000000,0.000000
network_cloud_multiregion,prism_cc_cost,1,1.000000,0.117090,191.600400,159.667000,159.667000,0.000000,0.000000,0.097575,0.097575,0.000000,0.000000,0.005000,8423.480000,0.000000,0.000000
network_cloud_multiregion,heft_colocation,1,1.000000,0.117090,191.600400,159.667000,159.667000,0.000000,0.000000,0.097575,0.097575,0.000000,0.000000,0.005000,1.388000,0.000000,0.000000
network_hpc_cloud,prism_cc_time,1,1.000000,41.566871,1741.194000,147.667000,147.667000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,9127.470000,89.823052,100.000000
network_hpc_cloud,prism_cc_cost,1,1.000000,41.566871,1741.194000,147.667000,147.667000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,9127.470000,89.823052,100.000000
network_hpc_cloud,heft_colocation,1,1.000000,41.566871,1741.194000,1450.995000,1450.995000,0.000000,0.000000,34.639059,34.639059,0.000000,0.000000,0.015000,2.970000,0.000000,0.000000
network_edge_cloud,prism_cc_time,1,1.000000,0.184126,147.303600,122.753000,122.753000,0.000000,0.000000,0.153438,0.153438,0.000000,0.000000,0.016000,7322.214000,0.000000,0.000000
network_edge_cloud,prism_cc_cost,1,1.000000,0.184126,147.303600,122.753000,122.753000,0.000000,0.000000,0.153438,0.153438,0.000000,0.000000,0.016000,7322.214000,0.000000,0.000000
network_edge_cloud,heft_colocation,1,1.000000,0.184126,147.303600,122.753000,122.753000,0.000000,0.000000,0.153438,0.153438,0.000000,0.000000,0.016000,3.033000,0.000000,0.000000
network_fog_hpc_cloud,prism_cc_time,1,1.000000,34.494029,2034.456000,147.667000,147.667000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,20243.082000,91.290035,100.000000
network_fog_hpc_cloud,prism_cc_cost,1,1.000000,34.494029,2034.456000,147.667000,147.667000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,20243.082000,91.290035,100.000000
network_fog_hpc_cloud,heft_colocation,1,1.000000,34.494029,2034.456000,1695.380000,1695.380000,0.000000,0.000000,28.745024,28.745024,0.000000,0.000000,0.011000,2.809000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_time,1,1.000000,0.000000,899.630400,749.692000,749.692000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,9651.741000,0.000000,0.000000
network_wfcommons_overlay,prism_cc_cost,1,1.000000,0.000000,899.630400,749.692000,749.692000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,9651.741000,0.000000,0.000000
network_wfcommons_overlay,heft_colocation,1,1.000000,0.000000,899.630400,749.692000,749.692000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,1.269000,0.000000,0.000000
